Sheet,Pointer,Clarity,Cut,Color,Florescence,Font,Value,Value_Color,Cert_cost,Price
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,E,STRONG,ITALIC,,WHITE,151.0,1345.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,E,STRONG,ITALIC,,WHITE,151.0,1240.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,VG,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,GD,E,STRONG,ITALIC,,WHITE,151.0,800.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,3EX,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,EX,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,VG,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),IF,GD,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,EX,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,VG,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS1,GD,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,EX,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,VG,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VVS2,GD,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,3EX,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,EX,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,VG,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VS1,GD,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,3EX,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,EX,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,VG,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),VS2,GD,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,3EX,E,STRONG,ITALIC,,WHITE,151.0,1090.0
0.20 To 0.229,( 0.20 To 0.229 ),SI1,EX,E,STRONG,ITALIC,,WHITE,151.0,1090.0
